tensor(251920.8750, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(174134.2344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(164947.0156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(180071.5469, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(158850.1719, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(153883.1406, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(182938.0938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(168864.0469, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(173235.7031, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(158338.5156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(173433.9375, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(151674.0781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(160198.3906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(156666.8906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(162399.2969, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(157063.1875, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(176148.1250, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(164522.4844, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(171331.9688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(163542.5469, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(157555.5625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(174674.0156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(147620.2656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(160336.5000, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(163602.2031, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(170586.6562, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(175480.0312, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(164542.3281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(175835.6406, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(160676.7812, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(170298.1562, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(158165.2500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(178354.4062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(150589.3906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(168256.2188, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(159732.5625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(162617.4375, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(154936.0156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(161047.0625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(149026.9219, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(175095.8594, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(157030.2031, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(157931.2656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(182214.1875, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(151546.4688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(150956.9375, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(159142.6875, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(143209.0938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(159132.3281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(168864.6875, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(151468.7969, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(158144.5156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(146744.2656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(160451.0156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(164909.8594, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(148840.1094, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(152019.1719, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(148836.3750, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(163166.5781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(152182.0781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(172046.4375, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(162776.0156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(162114.4688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(171558.5625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(159035.9375, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(148840., device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(144903.7344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(162236.6562, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(167853.0156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(154676.8281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(159499.9062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(147612.2344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(173861.5156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(156473.5938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(151071.3594, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(150665.5156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(153877.2812, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(152797.5000, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(163227.2500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(143119.4531, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(143979.2656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(161516.4219, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(143647.5469, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(147521.6875, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(156805.0312, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(158835.6719, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(158362.3125, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(145099.1094, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(157121.8125, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(148077.9688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(161199.5312, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(147724.8281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(156323.0781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(156214.7500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(154994.7812, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(151883.2500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(156115.1875, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(153610.3438, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(145065.9062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(156913.5625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(149596.6250, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(162891.3750, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(151546.3281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(153663.5156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(145202.1250, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(156383.1094, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(152831.6719, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(149042.2188, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(147027.2656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(160670.6562, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(154695.7344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(149818.9688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(153855.2344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(139022.3906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(138503.2344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(140900.2500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(151219.0781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(153677.2656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(137331.9531, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(157578.2344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(143867.7969, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(148229.2812, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(136587.1719, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(143572.8125, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(136525.3594, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(154206.3750, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(145478.1094, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(144517.1719, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(141423.1562, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(147377.3750, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(139923.9219, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(151595.9844, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(150102.0938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(132015.1875, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(151544.2500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(141342.0156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(149213.8906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(132966.0938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(141372.3281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(142653.4062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(153220.1562, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(143529.4062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(141355.1406, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(142336.9531, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(142184.1094, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(130780.7812, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(145585.4688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(140189.6406, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(147296.2031, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(157093.7656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(142283.1406, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(142719.2500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(140339.0781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(145844.3281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(150466.3906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(149820.3594, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(151088.2344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(137100.2812, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(124780.9688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(145015.7344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(138381.9062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(142172.2344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(151404.0312, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(132042.0938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(146118.7969, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(130873.8516, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(148194.7969, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(144635.6094, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(144903.9062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(151996.5781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(149629.7656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(135282.8125, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(143519.4531, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(141239.6719, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(142066.2031, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(119310.6328, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(136611.7812, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(129938.0781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(149710.9062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(138647.2656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(140175.8750, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(131657.1406, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(136799.8906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(138344.1875, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(150556.9062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(145897.8125, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(134858.3750, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(142902.7344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(147977.2812, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(133901.4375, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(129566.2031, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(144765.5000, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(140665.3438, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(135809.9844, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(135431., device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(130308.8984, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(140466.0469, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(151706.0625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(131539.9062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(128875.7578, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(125258.0547, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(145111.5625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(130231.7969, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(122841.5938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(141503.7188, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(144268.4688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(122396.5547, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(152119.3281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(132463.1406, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(136680.6250, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(144162.3906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(129385.8906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(133392.9062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(141703.0469, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(125311.9141, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(140570.5312, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(118588.5781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(124037.8750, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(142321.6094, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(145383.8281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(147735.4688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(126148.5547, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(135937.6719, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(126077.5391, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(128127.5781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(128925.1406, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(144276.8906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(151656.8594, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(129679.2109, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(139627.2344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(140694.9531, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(139759.6094, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(128719.4141, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(121872.2344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(118013.4375, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(129484.6250, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(120084.7188, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(136358.1250, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(124148.0469, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(141909.9688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(125390.5234, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(132257.7656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(151720.6719, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(134118.3906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(131133.7031, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(133320.8438, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(146031.6406, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(129659.4766, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(130104.0938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(118748.3984, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(135577.6094, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(113984.7500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(137027.5156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(142362.0781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(133024.0156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(131461.8125, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(131377.6875, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(121987.8672, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(131726.3438, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(133570.5938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
